Ticker,Name,RSI,Price,MarketCap (Billion KRW)
005930,삼성전자,22.689075630252105,57700,344456.45
000270,기아,19.40298507462687,92500,36986.9
005490,POSCO홀딩스,15.625,331500,27389.98
051910,LG화학,21.16788321167884,318000,22448.37
006400,삼성SDI,18.421052631578945,324000,22279.71
066570,LG전자,23.4375,96300,15759.28
086520,에코프로,23.611111111111114,76400,10171.77
028300,HLB,21.50170648464163,69300,9087.12
009150,삼성전기,14.503816793893137,120400,8993.12
047050,포스코인터내셔널,21.379310344827587,50200,8831.32
450080,에코프로머티,22.727272727272734,106600,7362.93
090430,아모레퍼시픽,19.87041036717062,124300,7270.65
051900,LG생활건강,20.491803278688522,347500,5427.32
161390,한국타이어앤테크놀로지,10.273972602739732,36550,4527.63
022100,포스코DX,16.16766467065868,26000,3952.9
028050,삼성E&A,20.23809523809524,19850,3890.6
036460,한국가스공사,20.61855670103094,40650,3752.52
307950,현대오토에버,18.276762402088778,135400,3713.21
011780,금호석유,15.78947368421052,133400,3646.43
009830,한화솔루션,15.853658536585357,20500,3523.8
005070,코스모신소재,11.602209944751394,102500,3332.35
001450,현대해상,22.764227642276424,30300,2708.82
004990,롯데지주,17.241379310344826,23750,2491.59
112610,씨에스윈드,23.938223938223942,56400,2378.47
002380,KCC,13.63636363636364,260500,2314.93
000120,CJ대한통운,16.56050955414014,87100,1986.96
002790,아모레G,8.943089430894318,23100,1904.78
028670,팬오션,17.088607594936704,3495,1868.32
008770,호텔신라,18.493150684931507,44250,1736.73
012510,더존비즈온,23.88059701492537,47400,1440.14
035760,CJ ENM,16.463414634146346,61800,1355.22
010060,OCI홀딩스,24.13793103448276,66300,1297.09
457190,이수스페셜티케미컬,12.080536912751683,41000,1238.54
009240,한샘,19.354838709677423,51800,1219.06
073240,금호타이어,18.840579710144937,4100,1177.77
298050,HS효성첨단소재,13.72549019607844,257000,1151.35
336260,두산퓨얼셀,19.946091644204856,17130,1121.91
005300,롯데칠성,6.83229813664596,118000,1094.91
069960,현대백화점,23.18840579710144,46050,1077.68
067630,HLB생명과학,23.11977715877437,9070,1076.42
417200,LS머트리얼즈,15.736040609137063,15860,1072.97
067160,SOOP,23.963133640552996,90700,1042.58
007340,DN오토모티브,13.461538461538453,17410,1028.34
036830,솔브레인홀딩스,22.222222222222214,48600,1018.85
004490,세방전지,13.793103448275858,71500,1001.0
064760,티씨케이,23.33333333333333,85500,998.21
034230,파라다이스,10.328638497652577,10360,950.75
281740,레이크머티리얼즈,13.991769547325106,14260,937.32
079160,CJ CGV,14.150943396226424,5580,923.94
120110,코오롱인더,11.965811965811966,32050,881.99
000210,DL,24.444444444444443,41500,869.67
353200,대덕전자,21.45833333333333,16710,825.76
241710,코스메카코리아,21.88679245283018,75600,807.41
056190,에스에프에이,8.441558441558442,20200,725.36
352480,씨앤씨인터내셔널,10.30927835051547,72400,725.01
271940,일진하이솔루스,19.801980198019805,19920,723.36
048410,현대바이오,13.758389261744952,17240,686.52
114090,GKL,3.8043478260869534,10770,666.19
064960,SNT모티브,21.89781021897811,45450,664.62
047920,HLB제약,19.54022988505747,20800,661.44
003030,세아제강지주,21.505376344086017,159300,659.77
383310,에코프로에이치엔,24.84889537307211,42800,655.05
009520,포스코엠텍,18.45794392523365,15620,650.46
093370,후성,23.92638036809815,5940,637.1
365340,성일하이텍,23.853211009174302,52300,634.78
000070,삼양홀딩스,23.4567901234568,71900,615.77
009900,명신산업,20.992366412213727,11710,614.43
019170,신풍제약,20.809248554913296,11530,610.92
074600,원익QnC,21.238938053097343,22600,594.11
222080,씨아이에스,19.57831325301204,8060,578.14
005880,대한해운,13.18407960199005,1809,577.39
181710,NHN,22.769230769230774,15820,534.18
393890,더블유씨피,17.928286852589636,15770,531.39
336570,원텍,16.04938271604938,5890,526.22
007700,F&F홀딩스,21.374045801526705,13400,524.13
222800,심텍,16.17647058823529,16400,522.41
475150,SK이터닉스,17.441860465116278,15260,514.14
